match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match
85825,2025-04-06,Dust2,7,Aurora,paiN,Aurora,6,17,-11,11,0,1,0.5,0.5,0.7,0.0,1,train,train
85822,2025-04-06,Dust2,4,Falcons,Complexity,Complexity,5,51,-46,46,1,0,0.5,0.5,0.5,1.0,0,train,train
85826,2025-04-06,Ancient,3,FaZe,Astralis,Astralis,12,11,1,1,0,0,0.5,0.5,0.5,0.5,0,train,train
86022,2025-04-06,Nuke,3,9z,KRÜ,KRÜ,50,51,-1,1,0,0,0.0,0.5,0.3333333333333333,0.5,0,train,train
85825,2025-04-06,Inferno,4,Aurora,paiN,paiN,6,17,-11,11,1,0,0.5,0.5,0.7,0.0,0,test,train
86022,2025-04-06,Dust2,4,9z,KRÜ,9z,50,51,-1,1,1,0,1.0,0.5,0.25,1.0,1,val,train
85822,2025-04-06,Train,3,Falcons,Complexity,Complexity,5,51,-46,46,0,0,0.5,0.5,0.0,1.0,0,test,train
85841,2025-04-07,Inferno,7,FURIA,Complexity,Complexity,10,51,-41,41,0,1,0.5,0.5,1.0,1.0,0,test,test
85841,2025-04-07,Train,4,FURIA,Complexity,Complexity,10,51,-41,41,0,0,0.5,1.0,0.6666666666666666,1.0,0,test,test
85841,2025-04-07,Dust2,3,FURIA,Complexity,FURIA,10,51,-41,41,1,0,1.0,1.0,0.5,1.0,1,train,test
85840,2025-04-07,Ancient,3,The MongolZ,Betclic,Betclic,3,51,-48,48,1,0,1.0,0.5,0.3333333333333333,0.0,0,train,test
85840,2025-04-07,Nuke,4,The MongolZ,Betclic,Betclic,3,51,-48,48,0,0,0.5,0.5,0.25,0.3333333333333333,0,train,test
85835,2025-04-07,Dust2,3,G2,Rare Atom,G2,15,36,-21,21,1,0,0.5,0.5,0.5,0.6666666666666666,1,train,train
85835,2025-04-07,Ancient,4,G2,Rare Atom,G2,15,36,-21,21,0,0,0.5,1.0,0.6,0.5,1,train,train
85838,2025-04-07,Anubis,4,Aurora,Legacy,Aurora,6,19,-13,13,1,0,0.5,1.0,0.6,1.0,1,train,train
85839,2025-04-07,Ancient,4,3DMAX,Astralis,Astralis,8,11,-3,3,0,0,0.0,1.0,0.6666666666666666,0.6666666666666666,0,train,train
